chrom	start	end	count	fst	dxy	xpehh_mean	st_xpehh_w_median	st_xpehh_w_std	xpehh_max	xpehh_min	delta_SAF
2R	370588	390588	336	0.0183576	0.00297735	-2.90164772	-2.90164772	-2.90164772	-2.90164772	-2.90164772	0.0572694
2R	390588	410588	256	-0.00550913	0.00246043	-3.23928761	-3.23928761	-3.23928761	-3.23928761	-3.23928761	-0.02663956
2R	410588	430588	346	0.00217636	0.00331198	-2.8575064	-2.8575064	-2.8575064	-2.8575064	-2.8575064	-0.02201434
2R	430588	450588	354	0.01654623	0.00381121	-1.87325898	-1.87325898	-1.87325898	-1.87325898	-1.87325898	0.10207558
2R	450588	470588	303	0.00307056	0.00311254	-2.20225757	-2.20225757	-2.20225757	-2.20225757	-2.20225757	-0.04783734
2R	470588	490588	348	0.03539735	0.00360167	-2.25817	-2.25817	-2.25817	-2.25817	-2.25817	0.14641169
2R	490588	510588	341	0.03984447	0.00348928	-2.33020496	-2.33020496	-2.33020496	-2.33020496	-2.33020496	0.1852447
2R	510588	530588	221	0.01375851	0.00224139	-0.76367906	-0.76367906	-0.76367906	-0.76367906	-0.76367906	-0.03168237
2R	530588	550588	299	0.00807604	0.00320734	-1.15394259	-1.15394259	-1.15394259	-1.15394259	-1.15394259	-0.07164772
2R	550588	570588	444	0.01023837	0.00434023	-0.24810465	-0.24810465	-0.24810465	-0.24810465	-0.24810465	0.08690419
2R	570588	590588	307	0.02586136	0.0030493	0.21441765	0.21441765	0.21441765	0.21441765	0.21441765	0.24344947
2R	590588	610588	367	0.00981948	0.0040198	-0.32294811	-0.32294811	-0.32294811	-0.32294811	-0.32294811	0.01715539
2R	610588	630588	276	0.00351041	0.00328469	-1.79807634	-1.79807634	-1.79807634	-1.79807634	-1.79807634	0.01334037
2R	630588	650588	478	0.03614964	0.00511944	-1.49721742	-1.49721742	-1.49721742	-1.49721742	-1.49721742	0.13403966
2R	650588	670588	371	0.02073437	0.00433128	-1.26454901	-1.26454901	-1.26454901	-1.26454901	-1.26454901	0.03126688
2R	670588	690588	420	0.01382026	0.00488891	-0.88235399	-0.88235399	-0.88235399	-0.88235399	-0.88235399	-0.01395504
2R	690588	710588	343	0.00611331	0.00380321	-0.28019188	-0.28019188	-0.28019188	-0.28019188	-0.28019188	-0.02212941
2R	710588	730588	333	2.996e-05	0.00326839	-0.00322186	-0.00322186	-0.00322186	-0.00322186	-0.00322186	0.00045206
2R	730588	750588	294	-0.00140297	0.00287931	-0.29593467	-0.29593467	-0.29593467	-0.29593467	-0.29593467	-0.11104675
2R	750588	770588	244	0.00245129	0.00223319	-0.12058501	-0.12058501	-0.12058501	-0.12058501	-0.12058501	0.05265585
2R	770588	790588	273	-0.00307387	0.0030591	-0.28539221	-0.28539221	-0.28539221	-0.28539221	-0.28539221	-0.01561795
2R	790588	810588	410	-0.00089423	0.00385541	-0.11616163	-0.11616163	-0.11616163	-0.11616163	-0.11616163	-0.03790478
2R	810588	830588	492	-0.00669038	0.00413364	-0.38309524	-0.38309524	-0.38309524	-0.38309524	-0.38309524	-0.02251127
2R	830588	850588	300	-0.00277721	0.00264122	-0.77642943	-0.77642943	-0.77642943	-0.77642943	-0.77642943	-0.05929965
2R	850588	870588	324	-0.00550597	0.00301725	-1.08997196	-1.08997196	-1.08997196	-1.08997196	-1.08997196	-0.05738588
2R	870588	890588	391	-0.00409513	0.00322684	-0.21473324	-0.21473324	-0.21473324	-0.21473324	-0.21473324	-0.10262377
2R	890588	910588	403	-0.00102696	0.00374566	0.12166762	0.12166762	0.12166762	0.12166762	0.12166762	-0.02226271
2R	910588	930588	294	-0.00323412	0.00292125	0.16403491	0.16403491	0.16403491	0.16403491	0.16403491	-0.07614696
2R	930588	950588	420	0.01134868	0.00380106	-0.13884804	-0.13884804	-0.13884804	-0.13884804	-0.13884804	-0.0406697
2R	950588	970588	434	0.00163841	0.00405425	-0.39861218	-0.39861218	-0.39861218	-0.39861218	-0.39861218	-0.00874477
2R	970588	990588	417	0.00693837	0.00390495	-0.45138806	-0.45138806	-0.45138806	-0.45138806	-0.45138806	0.0134462
2R	990588	1010588	372	-0.00251255	0.00293225	-1.02721173	-1.02721173	-1.02721173	-1.02721173	-1.02721173	-0.07394396
2R	1010588	1030588	462	0.00498671	0.0039682	-1.03743391	-1.03743391	-1.03743391	-1.03743391	-1.03743391	-0.06973307
2R	1030588	1050588	313	-0.00013579	0.00278221	-0.50755382	-0.50755382	-0.50755382	-0.50755382	-0.50755382	-0.10264247
2R	1050588	1070588	350	0.00767192	0.00274141	0.1550358	0.1550358	0.1550358	0.1550358	0.1550358	0.02080917
2R	1070588	1090588	279	0.00907419	0.00260562	-0.58579592	-0.58579592	-0.58579592	-0.58579592	-0.58579592	-0.03822614
2R	1090588	1110588	406	0.00417479	0.00365022	-0.00654742	-0.00654742	-0.00654742	-0.00654742	-0.00654742	0.01611107
2R	1110588	1130588	356	0.00064253	0.0030704	-0.4077518	-0.4077518	-0.4077518	-0.4077518	-0.4077518	0.00683137
2R	1130588	1150588	282	0.0079572	0.00280971	-1.03135285	-1.03135285	-1.03135285	-1.03135285	-1.03135285	-0.00624055
2R	1150588	1170588	174	-0.00203282	0.00172306	-0.1542464	-0.1542464	-0.1542464	-0.1542464	-0.1542464	-0.00716123
2R	1170588	1190588	115	0.00457487	0.00126224	-0.21165378	-0.21165378	-0.21165378	-0.21165378	-0.21165378	-0.0786097
2R	1190588	1210588	390	0.00391588	0.00386761	-0.67912581	-0.67912581	-0.67912581	-0.67912581	-0.67912581	-0.02248588
2R	1210588	1230588	276	0.00164155	0.00282956	-0.37378421	-0.37378421	-0.37378421	-0.37378421	-0.37378421	0.01949177
2R	1230588	1250588	213	-0.00798968	0.00215559	0.4654766	0.4654766	0.4654766	0.4654766	0.4654766	-0.05321756
2R	1250588	1270588	240	-0.0029105	0.00232813	-1.17274165	-1.17274165	-1.17274165	-1.17274165	-1.17274165	-0.06114507
2R	1270588	1290588	443	0.00669041	0.00409495	0.2594507	0.2594507	0.2594507	0.2594507	0.2594507	-0.06190185
2R	1290588	1310588	287	0.00977769	0.00260157	2.03418239	2.03418239	2.03418239	2.03418239	2.03418239	-0.09099116
2R	1310588	1330588	352	-0.0051057	0.00311009	1.56052072	1.56052072	1.56052072	1.56052072	1.56052072	0.05223643
2R	1330588	1350588	318	0.01451981	0.00295405	1.07219358	1.07219358	1.07219358	1.07219358	1.07219358	0.14852486
2R	1350588	1370588	292	0.01218226	0.00267132	1.31681096	1.31681096	1.31681096	1.31681096	1.31681096	0.09588419
2R	1370588	1390588	325	0.02208886	0.00359807	1.22396664	1.22396664	1.22396664	1.22396664	1.22396664	-0.00174147
2R	1390588	1410588	390	0.02327592	0.00397675	2.68233708	2.68233708	2.68233708	2.68233708	2.68233708	0.15827068
2R	1410588	1430588	497	0.02143128	0.00375021	3.26422024	3.26422024	3.26422024	3.26422024	3.26422024	0.10709018
2R	1430588	1450588	381	0.01212551	0.00388726	3.29778724	3.29778724	3.29778724	3.29778724	3.29778724	-0.00478952
2R	1450588	1470588	411	0.01245245	0.00360052	3.26926297	3.26926297	3.26926297	3.26926297	3.26926297	0.16122584
2R	1470588	1490588	389	0.01128649	0.00387426	2.45859656	2.45859656	2.45859656	2.45859656	2.45859656	0.05616642
2R	1490588	1510588	375	0.01218124	0.00348778	0.40268887	0.40268887	0.40268887	0.40268887	0.40268887	0.06200598
2R	1510588	1530588	461	0.0066011	0.00433543	-0.01649105	-0.01649105	-0.01649105	-0.01649105	-0.01649105	-0.07648355
2R	1530588	1550588	482	0.00283979	0.00479676	0.51349883	0.51349883	0.51349883	0.51349883	0.51349883	-0.01763859
2R	1550588	1570588	367	0.00602138	0.00375241	0.1046338	0.1046338	0.1046338	0.1046338	0.1046338	-0.20892118
2R	1570588	1590588	422	0.00680626	0.0040257	0.19683568	0.19683568	0.19683568	0.19683568	0.19683568	-0.03183117
2R	1590588	1610588	448	-0.00051448	0.00476671	-0.10352851	-0.10352851	-0.10352851	-0.10352851	-0.10352851	0.01245205
2R	1610588	1630588	287	-0.00362759	0.00315479	-1.38566931	-1.38566931	-1.38566931	-1.38566931	-1.38566931	0.04584001
2R	1630588	1650588	365	-0.00843018	0.0040298	-0.32108095	-0.32108095	-0.32108095	-0.32108095	-0.32108095	-0.10579751
2R	1650588	1670588	425	-0.00999095	0.00391955	0.10556677	0.10556677	0.10556677	0.10556677	0.10556677	0.04979002
2R	1670588	1690588	443	-0.00931658	0.00437453	0.34367393	0.34367393	0.34367393	0.34367393	0.34367393	-0.04223958
2R	1690588	1710588	364	-0.00752294	0.00342198	-0.10782278	-0.10782278	-0.10782278	-0.10782278	-0.10782278	-0.0448878
2R	1710588	1730588	229	0.00105793	0.00234938	0.28609118	0.28609118	0.28609118	0.28609118	0.28609118	-0.03905107
2R	1730588	1750588	321	-0.00691688	0.00322869	-0.04113559	-0.04113559	-0.04113559	-0.04113559	-0.04113559	0.03575387
2R	1750588	1770588	424	0.00172013	0.00466877	0.11122364	0.11122364	0.11122364	0.11122364	0.11122364	0.11411183
2R	1770588	1790588	435	-0.00753826	0.00390915	-0.06365228	-0.06365228	-0.06365228	-0.06365228	-0.06365228	-0.00020378
2R	1790588	1810588	317	-0.00975111	0.00326749	0.08624613	0.08624613	0.08624613	0.08624613	0.08624613	-0.00870292
2R	1810588	1830588	384	-0.00724301	0.00312809	-0.06881238	-0.06881238	-0.06881238	-0.06881238	-0.06881238	0.00709703
2R	1830588	1850588	227	-0.00494788	0.00204825	-0.09763717	-0.09763717	-0.09763717	-0.09763717	-0.09763717	-0.12798398
2R	1850588	1870588	463	-0.00090144	0.0040437	-0.44486029	-0.44486029	-0.44486029	-0.44486029	-0.44486029	-0.06014198
2R	1870588	1890588	352	-0.00084404	0.00293695	0.06626777	0.06626777	0.06626777	0.06626777	0.06626777	-0.07295856
2R	1890588	1910588	307	-0.00498072	0.00302055	-0.11781519	-0.11781519	-0.11781519	-0.11781519	-0.11781519	-0.04748977
2R	1910588	1930588	243	-0.00409538	0.00215834	0.0845975	0.0845975	0.0845975	0.0845975	0.0845975	-0.03255245
2R	1930588	1950588	274	0.00275084	0.00241018	0.19109399	0.19109399	0.19109399	0.19109399	0.19109399	-0.06291865
2R	1950588	1970588	160	0.00240604	0.00133738	0.1731588	0.1731588	0.1731588	0.1731588	0.1731588	-0.04791956
2R	1970588	1990588	177	-0.00304401	0.00176111	-0.11704996	-0.11704996	-0.11704996	-0.11704996	-0.11704996	0.11542099
2R	1990588	2010588	343	0.00235322	0.00255982	0.12804286	0.12804286	0.12804286	0.12804286	0.12804286	-0.00900164
2R	2010588	2030588	336	0.00181146	0.00309715	0.31733961	0.31733961	0.31733961	0.31733961	0.31733961	-0.11782584
2R	2030588	2050588	364	0.00563003	0.00366217	-0.03667148	-0.03667148	-0.03667148	-0.03667148	-0.03667148	-0.05583865
2R	2050588	2070588	341	0.00283049	0.00330313	-0.00340405	-0.00340405	-0.00340405	-0.00340405	-0.00340405	-0.03187631
2R	2070588	2090588	398	-0.00182872	0.00355467	0.14518032	0.14518032	0.14518032	0.14518032	0.14518032	-0.03228913
2R	2090588	2110588	404	-0.00350877	0.00414774	-0.03578155	-0.03578155	-0.03578155	-0.03578155	-0.03578155	-0.05880023
2R	2110588	2130588	237	0.00091614	0.00211964	0.06870665	0.06870665	0.06870665	0.06870665	0.06870665	-0.04467645
2R	2130588	2150588	355	-0.00079056	0.00324274	0.10475512	0.10475512	0.10475512	0.10475512	0.10475512	0.02905526
2R	2150588	2170588	281	4.88e-06	0.00299935	0.00109822	0.00109822	0.00109822	0.00109822	0.00109822	-0.0023784
2R	2170588	2190588	297	0.00964031	0.00286131	0.02740753	0.02740753	0.02740753	0.02740753	0.02740753	-0.05508688
2R	2190588	2210588	269	0.00392796	0.00247098	-0.02671893	-0.02671893	-0.02671893	-0.02671893	-0.02671893	0.00614302
2R	2210588	2230588	286	0.00095592	0.00250367	-0.14617203	-0.14617203	-0.14617203	-0.14617203	-0.14617203	-0.17240801
2R	2230588	2250588	331	0.01881423	0.00284581	-0.27154547	-0.27154547	-0.27154547	-0.27154547	-0.27154547	-0.06988898
2R	2250588	2270588	371	0.00378742	0.00354187	0.32156088	0.32156088	0.32156088	0.32156088	0.32156088	-0.02504083
2R	2270588	2290588	498	0.00170106	0.00487451	-0.25197864	-0.25197864	-0.25197864	-0.25197864	-0.25197864	-0.08163739
2R	2290588	2310588	398	0.0142713	0.00348453	-0.50458575	-0.50458575	-0.50458575	-0.50458575	-0.50458575	-0.07253599
2R	2310588	2330588	355	0.00815466	0.00329639	-0.41573251	-0.41573251	-0.41573251	-0.41573251	-0.41573251	0.0454821
2R	2330588	2350588	427	0.00653978	0.00345993	-0.13804215	-0.13804215	-0.13804215	-0.13804215	-0.13804215	-0.06446568
2R	2350588	2370588	311	0.01309088	0.00277251	-0.22406483	-0.22406483	-0.22406483	-0.22406483	-0.22406483	0.0088642
2R	2370588	2390588	306	-0.00076152	0.00257047	-0.10602755	-0.10602755	-0.10602755	-0.10602755	-0.10602755	-0.05952151
2R	2390588	2410588	398	0.00615173	0.00347043	0.17571028	0.17571028	0.17571028	0.17571028	0.17571028	0.05784899
2R	2410588	2430588	430	0.00480149	0.00336283	0.04989879	0.04989879	0.04989879	0.04989879	0.04989879	-0.06459272
2R	2430588	2450588	411	0.00556776	0.00318169	0.06366126	0.06366126	0.06366126	0.06366126	0.06366126	0.03981424
2R	2450588	2470588	416	0.01127229	0.00381756	0.00464239	0.00464239	0.00464239	0.00464239	0.00464239	-0.05647238
2R	2470588	2490588	570	0.01464717	0.00573476	-0.20240327	-0.20240327	-0.20240327	-0.20240327	-0.20240327	0.03335987
2R	2490588	2510588	498	0.00949513	0.00497915	-1.07503628	-1.07503628	-1.07503628	-1.07503628	-1.07503628	-0.03805879
2R	2510588	2530588	428	0.00081081	0.00378006	-0.52644435	-0.52644435	-0.52644435	-0.52644435	-0.52644435	-0.0259901
2R	2530588	2550588	315	-0.00684888	0.00287121	-0.50584693	-0.50584693	-0.50584693	-0.50584693	-0.50584693	0.0166848
2R	2550588	2570588	533	-0.00122049	0.00440718	-0.26793627	-0.26793627	-0.26793627	-0.26793627	-0.26793627	0.02599593
2R	2570588	2590588	499	-0.00285152	0.0040599	-0.26919553	-0.26919553	-0.26919553	-0.26919553	-0.26919553	-0.01265502
2R	2590588	2610588	444	0.00565454	0.00402065	-0.44069218	-0.44069218	-0.44069218	-0.44069218	-0.44069218	0.12264882
2R	2610588	2630588	396	-0.00660982	0.00366427	0.06282352	0.06282352	0.06282352	0.06282352	0.06282352	-0.00214754
2R	2630588	2650588	406	-0.00101189	0.00413654	-0.17053412	-0.17053412	-0.17053412	-0.17053412	-0.17053412	0.03429255
2R	2650588	2670588	379	0.00125756	0.00347688	0.2798507	0.2798507	0.2798507	0.2798507	0.2798507	0.02061662
2R	2670588	2690588	260	-0.00088075	0.00258872	0.27977041	0.27977041	0.27977041	0.27977041	0.27977041	-0.01377928
2R	2690588	2710588	368	0.00281804	0.00339008	-0.00508359	-0.00508359	-0.00508359	-0.00508359	-0.00508359	-0.05225229
2R	2710588	2730588	250	0.00096759	0.00212344	-0.00360601	-0.00360601	-0.00360601	-0.00360601	-0.00360601	-0.13247672
2R	2730588	2750588	358	-0.00305928	0.00357822	-0.22641145	-0.22641145	-0.22641145	-0.22641145	-0.22641145	0.01224217
2R	2750588	2770588	339	-0.00014675	0.00352972	-0.39138351	-0.39138351	-0.39138351	-0.39138351	-0.39138351	0.0307721
2R	2770588	2790588	309	-0.00393832	0.00283961	-0.24688557	-0.24688557	-0.24688557	-0.24688557	-0.24688557	-0.10799725
2R	2790588	2810588	310	-0.00196984	0.00317464	-0.72683128	-0.72683128	-0.72683128	-0.72683128	-0.72683128	-0.03211443
2R	2810588	2830588	424	0.0036595	0.00378656	-1.08267102	-1.08267102	-1.08267102	-1.08267102	-1.08267102	-0.06102901
2R	2830588	2850588	409	0.00516828	0.0040588	-1.46999716	-1.46999716	-1.46999716	-1.46999716	-1.46999716	-0.19433269
2R	2850588	2870588	278	-0.0034465	0.00258332	-1.40864813	-1.40864813	-1.40864813	-1.40864813	-1.40864813	-0.08966722
2R	2870588	2890588	423	0.00311277	0.00377396	-0.54431864	-0.54431864	-0.54431864	-0.54431864	-0.54431864	0.02220423
2R	2890588	2910588	454	-0.00178067	0.00376271	-1.31783845	-1.31783845	-1.31783845	-1.31783845	-1.31783845	-0.02538836
2R	2910588	2930588	544	0.00155253	0.00454382	-1.20703916	-1.20703916	-1.20703916	-1.20703916	-1.20703916	-0.10773289
2R	2930588	2950588	354	-0.00161936	0.00277401	-1.09169767	-1.09169767	-1.09169767	-1.09169767	-1.09169767	0.00427873
2R	2950588	2970588	397	0.00032075	0.00344468	-1.58607905	-1.58607905	-1.58607905	-1.58607905	-1.58607905	-0.03612886
2R	2970588	2990588	406	0.00733284	0.00362727	-0.47448663	-0.47448663	-0.47448663	-0.47448663	-0.47448663	-0.05825119
2R	2990588	3010588	491	0.00792325	0.00488096	-0.17436389	-0.17436389	-0.17436389	-0.17436389	-0.17436389	0.08700848
2R	3010588	3030588	245	0.00837364	0.00226604	0.1127776	0.1127776	0.1127776	0.1127776	0.1127776	0.00399701
2R	3030588	3050588	436	0.01008977	0.00425189	-0.2971147	-0.2971147	-0.2971147	-0.2971147	-0.2971147	0.1022621
2R	3050588	3070588	190	0.00304402	0.00188161	0.13810937	0.13810937	0.13810937	0.13810937	0.13810937	-0.01416779
2R	3070588	3090588	346	0.01339413	0.00358617	-0.1351608	-0.1351608	-0.1351608	-0.1351608	-0.1351608	-0.04121525
2R	3090588	3110588	411	0.01055894	0.00362992	0.24133002	0.24133002	0.24133002	0.24133002	0.24133002	0.09638917
2R	3110588	3130588	464	0.01783466	0.00432043	1.3308089	1.3308089	1.3308089	1.3308089	1.3308089	0.00827031
2R	3130588	3150588	553	0.01786822	0.0050548	0.97257281	0.97257281	0.97257281	0.97257281	0.97257281	0.05592621
2R	3150588	3170588	498	0.01944968	0.00485856	0.09362867	0.09362867	0.09362867	0.09362867	0.09362867	0.05695442
2R	3170588	3190588	371	0.01518297	0.00388496	-0.22053863	-0.22053863	-0.22053863	-0.22053863	-0.22053863	0.05016876
2R	3190588	3210588	80	-0.00156252	0.00062857	-0.18229979	-0.18229979	-0.18229979	-0.18229979	-0.18229979	0.09971407
2R	3210588	3230588	0	nan	0.0	nan	nan	nan	nan	nan	nan
2R	3230588	3250588	21	0.00548456	0.00015844	0.20062768	0.20062768	0.20062768	0.20062768	0.20062768	-0.05806937
2R	3250588	3270588	283	0.00166781	0.00285871	0.10269022	0.10269022	0.10269022	0.10269022	0.10269022	-0.00590201
2R	3270588	3290588	304	-9.798e-05	0.0030236	0.42737946	0.42737946	0.42737946	0.42737946	0.42737946	0.02424609
2R	3290588	3310588	535	0.00655323	0.00522229	0.29504881	0.29504881	0.29504881	0.29504881	0.29504881	-0.03061228
2R	3310588	3330588	517	0.01649565	0.00483306	-0.11683788	-0.11683788	-0.11683788	-0.11683788	-0.11683788	0.00746625
2R	3330588	3350588	538	0.00701898	0.00481556	0.68071625	0.68071625	0.68071625	0.68071625	0.68071625	0.11261486
2R	3350588	3370588	340	0.0038743	0.00368447	1.34890312	1.34890312	1.34890312	1.34890312	1.34890312	-0.04981926
2R	3370588	3390588	384	0.02398275	0.00429739	2.45361394	2.45361394	2.45361394	2.45361394	2.45361394	0.01074943
2R	3390588	3410588	318	0.00372691	0.00317449	0.77659291	0.77659291	0.77659291	0.77659291	0.77659291	0.11649114
2R	3410588	3430588	297	0.00927801	0.00314609	-0.12996362	-0.12996362	-0.12996362	-0.12996362	-0.12996362	0.04930054
2R	3430588	3450588	290	0.00841556	0.00262192	-1.67769209	-1.67769209	-1.67769209	-1.67769209	-1.67769209	-0.03541525
2R	3450588	3470588	63	-0.00761188	0.00067277	-0.39453716	-0.39453716	-0.39453716	-0.39453716	-0.39453716	-0.21624826
2R	3470588	3490588	29	-0.00023646	0.00026309	-0.30628894	-0.30628894	-0.30628894	-0.30628894	-0.30628894	-0.09370508
2R	3490588	3510588	28	0.00096102	0.00030268	-0.182202	-0.182202	-0.182202	-0.182202	-0.182202	-0.21888458
2R	3510588	3530588	43	0.02301617	0.00039573	0.31306652	0.31306652	0.31306652	0.31306652	0.31306652	0.16853108
2R	3530588	3550588	76	-0.00400332	0.00077226	0.86736018	0.86736018	0.86736018	0.86736018	0.86736018	0.17989273
2R	3550588	3570588	103	0.00124597	0.00123919	0.46676562	0.46676562	0.46676562	0.46676562	0.46676562	0.06018086
2R	3570588	3590588	44	-0.00426117	0.00061137	1.30559123	1.30559123	1.30559123	1.30559123	1.30559123	-0.03793752
2R	3590588	3610588	87	0.0168723	0.00087431	1.98469203	1.98469203	1.98469203	1.98469203	1.98469203	0.06750406
2R	3610588	3630588	7	0.03782902	6.16e-05	0.84318789	0.84318789	0.84318789	0.84318789	0.84318789	0.70118929
2R	3630588	3650588	151	0.02097461	0.00119604	1.74091221	1.74091221	1.74091221	1.74091221	1.74091221	-0.09815533
2R	3650588	3670588	422	0.01622722	0.0040258	3.23949808	3.23949808	3.23949808	3.23949808	3.23949808	0.02694241
2R	3670588	3690588	481	0.02632922	0.00474591	3.12379998	3.12379998	3.12379998	3.12379998	3.12379998	0.08204446
2R	3690588	3710588	376	0.01965257	0.00422909	2.21075175	2.21075175	2.21075175	2.21075175	2.21075175	-0.0555172
2R	3710588	3730588	473	0.01546885	0.00476276	0.99429221	0.99429221	0.99429221	0.99429221	0.99429221	0.04212174
2R	3730588	3750588	496	0.0106366	0.00448278	1.05388538	1.05388538	1.05388538	1.05388538	1.05388538	-0.00627854
2R	3750588	3770588	542	0.00683449	0.0050995	0.53758683	0.53758683	0.53758683	0.53758683	0.53758683	0.03685742
2R	3770588	3790588	485	0.01164153	0.00422634	0.50273551	0.50273551	0.50273551	0.50273551	0.50273551	0.00859406
2R	3790588	3810588	428	0.00368914	0.00385581	1.23189263	1.23189263	1.23189263	1.23189263	1.23189263	0.10767352
2R	3810588	3830588	441	0.00661507	0.00410069	0.87455032	0.87455032	0.87455032	0.87455032	0.87455032	0.13408868
2R	3830588	3850588	279	0.00089917	0.00256577	0.59274155	0.59274155	0.59274155	0.59274155	0.59274155	0.23270009
2R	3850588	3870588	352	-0.0011402	0.00330238	0.36549785	0.36549785	0.36549785	0.36549785	0.36549785	0.04846171
2R	3870588	3890588	270	0.00010855	0.00239173	0.12026131	0.12026131	0.12026131	0.12026131	0.12026131	-0.04139224
2R	3890588	3910588	584	-0.00625447	0.00470131	0.1588745	0.1588745	0.1588745	0.1588745	0.1588745	0.0008324
2R	3910588	3930588	498	-0.00353008	0.00380336	0.38697588	0.38697588	0.38697588	0.38697588	0.38697588	0.07385224
2R	3930588	3950588	561	-0.00731685	0.00433043	0.13043312	0.13043312	0.13043312	0.13043312	0.13043312	-0.09102331
2R	3950588	3970588	623	-0.00864381	0.0049332	0.03261615	0.03261615	0.03261615	0.03261615	0.03261615	-0.08093718
2R	3970588	3990588	652	-0.00252974	0.00526854	0.16068718	0.16068718	0.16068718	0.16068718	0.16068718	-0.00836756
2R	3990588	4010588	441	0.00038647	0.00431193	0.01722096	0.01722096	0.01722096	0.01722096	0.01722096	-0.04718934
2R	4010588	4030588	330	0.00519503	0.00329794	0.03361714	0.03361714	0.03361714	0.03361714	0.03361714	-0.16476822
2R	4030588	4050588	317	0.00754306	0.00276356	0.10359718	0.10359718	0.10359718	0.10359718	0.10359718	0.02226754
2R	4050588	4070588	581	0.00512062	0.00504995	0.28961738	0.28961738	0.28961738	0.28961738	0.28961738	0.0119359
2R	4070588	4090588	68	0.00092707	0.00068232	0.09655079	0.09655079	0.09655079	0.09655079	0.09655079	-0.07869466
2R	4090588	4110588	235	-0.00568574	0.00214294	0.18829493	0.18829493	0.18829493	0.18829493	0.18829493	0.04307537
2R	4110588	4130588	264	-0.00046037	0.00260482	0.01714379	0.01714379	0.01714379	0.01714379	0.01714379	0.08117598
2R	4130588	4150588	250	0.00273314	0.00246593	-0.08947621	-0.08947621	-0.08947621	-0.08947621	-0.08947621	-0.02677104
2R	4150588	4170588	259	0.00917737	0.0020975	0.09037164	0.09037164	0.09037164	0.09037164	0.09037164	0.09098929
2R	4170588	4190588	424	0.00861852	0.00399975	-0.43028692	-0.43028692	-0.43028692	-0.43028692	-0.43028692	-0.05493564
2R	4190588	4210588	437	0.00698016	0.00419699	-0.18860871	-0.18860871	-0.18860871	-0.18860871	-0.18860871	-0.0386439
2R	4210588	4230588	262	0.0086922	0.00254477	0.08762638	0.08762638	0.08762638	0.08762638	0.08762638	0.01912836
2R	4230588	4250588	436	0.01424905	0.00339013	-0.0540938	-0.0540938	-0.0540938	-0.0540938	-0.0540938	0.02827598
2R	4250588	4270588	432	0.0027157	0.00348973	-0.41261806	-0.41261806	-0.41261806	-0.41261806	-0.41261806	-0.06917607
2R	4270588	4290588	478	0.02482261	0.00385056	-0.28834582	-0.28834582	-0.28834582	-0.28834582	-0.28834582	-0.05513523
2R	4290588	4310588	385	0.01561356	0.00267152	-0.2170517	-0.2170517	-0.2170517	-0.2170517	-0.2170517	-0.12229959
2R	4310588	4330588	301	0.00855481	0.00225564	0.02254814	0.02254814	0.02254814	0.02254814	0.02254814	-0.03526219
2R	4330588	4350588	359	0.01393048	0.00258267	0.00796274	0.00796274	0.00796274	0.00796274	0.00796274	0.02894374
2R	4350588	4370588	278	0.00270201	0.00237468	-0.06387785	-0.06387785	-0.06387785	-0.06387785	-0.06387785	-0.03948241
2R	4370588	4390588	436	0.00394799	0.00327369	-0.24394739	-0.24394739	-0.24394739	-0.24394739	-0.24394739	-0.00677007
