chrom	start	end	count	fst	dxy	xpehh_mean	st_xpehh_w_median	st_xpehh_w_std	xpehh_max	xpehh_min	delta_SAF
2R	710588	730588	354	0.02841624	0.00332007	0.01504298	0.01504298	0.01504298	0.01504298	0.01504298	-0.07823245
2R	730588	750588	310	0.03018783	0.00303465	-0.03341978	-0.03341978	-0.03341978	-0.03341978	-0.03341978	-0.0713783
2R	750588	770588	260	0.04691687	0.00226231	-0.00655357	-0.00655357	-0.00655357	-0.00655357	-0.00655357	-0.02147935
2R	770588	790588	309	0.0326075	0.00308414	-0.68986605	-0.68986605	-0.68986605	-0.68986605	-0.68986605	0.03871172
2R	790588	810588	447	0.04042493	0.00399003	-0.08878889	-0.08878889	-0.08878889	-0.08878889	-0.08878889	-0.08992039
2R	810588	830588	516	0.03508606	0.00425072	-0.39835778	-0.39835778	-0.39835778	-0.39835778	-0.39835778	-0.0810738
2R	830588	850588	360	0.02294961	0.00278451	-0.66726746	-0.66726746	-0.66726746	-0.66726746	-0.66726746	-0.11404864
2R	850588	870588	370	0.04122667	0.00299169	-0.33437341	-0.33437341	-0.33437341	-0.33437341	-0.33437341	0.01931231
2R	870588	890588	448	0.0461613	0.00346823	-0.64783049	-0.64783049	-0.64783049	-0.64783049	-0.64783049	-0.07802894
2R	890588	910588	443	0.03410651	0.00380657	-0.53433275	-0.53433275	-0.53433275	-0.53433275	-0.53433275	-0.0389203
2R	910588	930588	335	0.04058999	0.00299915	-0.70691774	-0.70691774	-0.70691774	-0.70691774	-0.70691774	-0.03630549
2R	930588	950588	463	0.04091553	0.00382172	-0.93595136	-0.93595136	-0.93595136	-0.93595136	-0.93595136	-0.0139359
2R	950588	970588	496	0.04478552	0.00416264	-0.18901219	-0.18901219	-0.18901219	-0.18901219	-0.18901219	-0.02131591
2R	970588	990588	500	0.04800344	0.00394777	-0.16943834	-0.16943834	-0.16943834	-0.16943834	-0.16943834	-0.01190365
2R	990588	1010588	431	0.0375649	0.00298055	-0.00424954	-0.00424954	-0.00424954	-0.00424954	-0.00424954	-0.08202052
2R	1010588	1030588	526	0.04432028	0.00418186	-0.48200494	-0.48200494	-0.48200494	-0.48200494	-0.48200494	-0.06792673
2R	1030588	1050588	373	0.02443414	0.00285376	-0.4127598	-0.4127598	-0.4127598	-0.4127598	-0.4127598	-0.05261329
2R	1050588	1070588	408	0.03618127	0.00269225	0.00114016	0.00114016	0.00114016	0.00114016	0.00114016	-0.05741263
2R	1070588	1090588	357	0.0300949	0.00262788	0.26014307	0.26014307	0.26014307	0.26014307	0.26014307	-0.04494003
2R	1090588	1110588	484	0.04763357	0.00370028	-0.19061555	-0.19061555	-0.19061555	-0.19061555	-0.19061555	-0.02712508
2R	1110588	1130588	394	0.04326241	0.0031375	-0.22414277	-0.22414277	-0.22414277	-0.22414277	-0.22414277	-0.02907107
2R	1130588	1150588	313	0.0430028	0.00289841	-0.12794814	-0.12794814	-0.12794814	-0.12794814	-0.12794814	-0.03969671
2R	1150588	1170588	200	0.07686694	0.00163828	1.0619807	1.0619807	1.0619807	1.0619807	1.0619807	0.21198104
2R	1170588	1190588	116	0.09062867	0.00126732	1.77934372	1.77934372	1.77934372	1.77934372	1.77934372	0.48166623
2R	1190588	1210588	421	0.09124365	0.00401718	1.78928024	1.78928024	1.78928024	1.78928024	1.78928024	0.20445329
2R	1210588	1230588	333	0.05068567	0.00294274	1.34962033	1.34962033	1.34962033	1.34962033	1.34962033	-0.04564573
2R	1230588	1250588	238	0.07498669	0.0024039	0.83458074	0.83458074	0.83458074	0.83458074	0.83458074	-0.07276797
2R	1250588	1270588	264	0.0544153	0.00236605	1.10840686	1.10840686	1.10840686	1.10840686	1.10840686	0.11849409
2R	1270588	1290588	492	0.05564935	0.00441845	-1.34577713	-1.34577713	-1.34577713	-1.34577713	-1.34577713	-0.05983084
2R	1290588	1310588	304	0.08930311	0.00273775	-1.71735989	-1.71735989	-1.71735989	-1.71735989	-1.71735989	0.08554921
2R	1310588	1330588	369	0.09424245	0.00323722	-1.17094814	-1.17094814	-1.17094814	-1.17094814	-1.17094814	0.19593734
2R	1330588	1350588	321	0.11022122	0.0029893	0.02316908	0.02316908	0.02316908	0.02316908	0.02316908	0.10327713
2R	1350588	1370588	300	0.09116201	0.00256725	0.73156497	0.73156497	0.73156497	0.73156497	0.73156497	0.16916907
2R	1370588	1390588	362	0.07711482	0.00359841	0.5920378	0.5920378	0.5920378	0.5920378	0.5920378	0.10474186
2R	1390588	1410588	410	0.13021471	0.00414436	-0.04778085	-0.04778085	-0.04778085	-0.04778085	-0.04778085	0.27558321
2R	1410588	1430588	483	0.11363565	0.00391902	-0.33090949	-0.33090949	-0.33090949	-0.33090949	-0.33090949	0.0015212
2R	1430588	1450588	426	0.09824952	0.00414475	-0.1308567	-0.1308567	-0.1308567	-0.1308567	-0.1308567	0.08353222
2R	1450588	1470588	387	0.08905695	0.00375341	0.1667264	0.1667264	0.1667264	0.1667264	0.1667264	-0.01781884
2R	1470588	1490588	385	0.12948475	0.00405355	0.71266893	0.71266893	0.71266893	0.71266893	0.71266893	0.35213574
2R	1490588	1510588	374	0.06606083	0.0035276	1.98339115	1.98339115	1.98339115	1.98339115	1.98339115	-0.00999786
2R	1510588	1530588	486	0.04812659	0.0044679	2.31370756	2.31370756	2.31370756	2.31370756	2.31370756	-0.04351978
2R	1530588	1550588	509	0.06687361	0.00478679	1.61556176	1.61556176	1.61556176	1.61556176	1.61556176	0.09142772
2R	1550588	1570588	409	0.06032973	0.00392496	1.56266106	1.56266106	1.56266106	1.56266106	1.56266106	0.13576171
2R	1570588	1590588	425	0.05082694	0.00405105	1.61538901	1.61538901	1.61538901	1.61538901	1.61538901	0.07527975
2R	1590588	1610588	499	0.0380153	0.00473402	0.57121821	0.57121821	0.57121821	0.57121821	0.57121821	0.03900842
2R	1610588	1630588	310	0.03504064	0.00317988	0.92137653	0.92137653	0.92137653	0.92137653	0.92137653	0.0128115
2R	1630588	1650588	409	0.04243648	0.00423924	-0.00047607	-0.00047607	-0.00047607	-0.00047607	-0.00047607	0.01961298
2R	1650588	1670588	483	0.04849441	0.00421955	0.06635807	0.06635807	0.06635807	0.06635807	0.06635807	-0.14643547
2R	1670588	1690588	511	0.02819999	0.00446587	-0.66017455	-0.66017455	-0.66017455	-0.66017455	-0.66017455	-0.04417762
2R	1690588	1710588	438	0.0256427	0.00357916	-0.58968042	-0.58968042	-0.58968042	-0.58968042	-0.58968042	-0.09048977
2R	1710588	1730588	258	0.05607966	0.00246726	-0.68400759	-0.68400759	-0.68400759	-0.68400759	-0.68400759	0.04561341
2R	1730588	1750588	379	0.03510818	0.00334132	-0.78752845	-0.78752845	-0.78752845	-0.78752845	-0.78752845	-0.11361418
2R	1750588	1770588	483	0.03713778	0.0048378	-0.54390495	-0.54390495	-0.54390495	-0.54390495	-0.54390495	-0.0971734
2R	1770588	1790588	482	0.03848416	0.00411042	-0.41336528	-0.41336528	-0.41336528	-0.41336528	-0.41336528	-0.11513044
2R	1790588	1810588	352	0.04261749	0.00335264	-0.54670359	-0.54670359	-0.54670359	-0.54670359	-0.54670359	0.06043637
2R	1810588	1830588	403	0.04676022	0.0032371	0.0006137	0.0006137	0.0006137	0.0006137	0.0006137	-0.06426885
2R	1830588	1850588	238	0.04648213	0.00217333	0.14149699	0.14149699	0.14149699	0.14149699	0.14149699	-0.0227238
2R	1850588	1870588	490	0.04667696	0.00424967	0.0868879	0.0868879	0.0868879	0.0868879	0.0868879	-0.0262852
2R	1870588	1890588	400	0.04095522	0.00314019	-0.28390218	-0.28390218	-0.28390218	-0.28390218	-0.28390218	-0.10705053
2R	1890588	1910588	366	0.04551338	0.00325476	-0.02757526	-0.02757526	-0.02757526	-0.02757526	-0.02757526	-0.06658475
2R	1910588	1930588	272	0.06667914	0.0023209	0.52250657	0.52250657	0.52250657	0.52250657	0.52250657	-0.01214418
2R	1930588	1950588	298	0.07045102	0.00254108	0.65033609	0.65033609	0.65033609	0.65033609	0.65033609	-0.03291511
2R	1950588	1970588	160	0.0634025	0.00135126	-0.05472804	-0.05472804	-0.05472804	-0.05472804	-0.05472804	-0.04303839
2R	1970588	1990588	199	0.03509319	0.00175179	0.29080386	0.29080386	0.29080386	0.29080386	0.29080386	-0.03654467
2R	1990588	2010588	369	0.05515246	0.00269311	0.09341892	0.09341892	0.09341892	0.09341892	0.09341892	-0.11085061
2R	2010588	2030588	354	0.08246189	0.00324238	0.04514087	0.04514087	0.04514087	0.04514087	0.04514087	0.16488353
2R	2030588	2050588	393	0.07883492	0.0037929	0.42840839	0.42840839	0.42840839	0.42840839	0.42840839	0.1549403
2R	2050588	2070588	395	0.04132216	0.00334304	-0.02582708	-0.02582708	-0.02582708	-0.02582708	-0.02582708	0.0155962
2R	2070588	2090588	425	0.02184466	0.00363501	-0.40085251	-0.40085251	-0.40085251	-0.40085251	-0.40085251	-0.12457406
2R	2090588	2110588	433	0.02502153	0.00421924	-0.0511079	-0.0511079	-0.0511079	-0.0511079	-0.0511079	-0.03951366
2R	2110588	2130588	269	0.02919234	0.00213778	-0.46993308	-0.46993308	-0.46993308	-0.46993308	-0.46993308	-0.02896335
2R	2130588	2150588	366	0.02619862	0.00325308	-0.24595097	-0.24595097	-0.24595097	-0.24595097	-0.24595097	-0.04011594
2R	2150588	2170588	302	0.03244936	0.00294407	0.13863871	0.13863871	0.13863871	0.13863871	0.13863871	0.05715566
2R	2170588	2190588	302	0.04460896	0.00291755	0.50738523	0.50738523	0.50738523	0.50738523	0.50738523	-0.04071431
2R	2190588	2210588	280	0.04384823	0.00235766	0.36117696	0.36117696	0.36117696	0.36117696	0.36117696	0.0543373
2R	2210588	2230588	306	0.03026791	0.0024987	0.52825192	0.52825192	0.52825192	0.52825192	0.52825192	0.00316951
2R	2230588	2250588	364	0.05910549	0.00282709	0.74579774	0.74579774	0.74579774	0.74579774	0.74579774	0.10014696
2R	2250588	2270588	389	0.04983622	0.00364146	0.50120213	0.50120213	0.50120213	0.50120213	0.50120213	-0.00780179
2R	2270588	2290588	549	0.06715336	0.00518044	0.79154747	0.79154747	0.79154747	0.79154747	0.79154747	-0.00987302
2R	2290588	2310588	418	0.04463811	0.00361033	0.41157328	0.41157328	0.41157328	0.41157328	0.41157328	-0.00040072
2R	2310588	2330588	386	0.05959949	0.0032448	-0.39542771	-0.39542771	-0.39542771	-0.39542771	-0.39542771	-0.0425958
2R	2330588	2350588	479	0.02067797	0.00346365	-0.28613417	-0.28613417	-0.28613417	-0.28613417	-0.28613417	-0.06408873
2R	2350588	2370588	351	0.03354385	0.00268283	-0.34017158	-0.34017158	-0.34017158	-0.34017158	-0.34017158	-0.00818368
2R	2370588	2390588	323	0.02779196	0.00250722	-0.28692819	-0.28692819	-0.28692819	-0.28692819	-0.28692819	0.0167771
2R	2390588	2410588	458	0.03183864	0.00351396	-0.65381134	-0.65381134	-0.65381134	-0.65381134	-0.65381134	-0.09163838
2R	2410588	2430588	497	0.02964844	0.00344143	-0.43966245	-0.43966245	-0.43966245	-0.43966245	-0.43966245	-0.10068577
2R	2430588	2450588	451	0.03957214	0.00329355	-0.5337718	-0.5337718	-0.5337718	-0.5337718	-0.5337718	-0.10972825
2R	2450588	2470588	437	0.02713404	0.00379708	-0.55087267	-0.55087267	-0.55087267	-0.55087267	-0.55087267	-0.01162193
2R	2470588	2490588	589	0.02593835	0.00569823	-0.49807716	-0.49807716	-0.49807716	-0.49807716	-0.49807716	-0.00912006
2R	2490588	2510588	591	0.01232077	0.0050651	-0.53572622	-0.53572622	-0.53572622	-0.53572622	-0.53572622	-0.06979529
2R	2510588	2530588	488	0.01530158	0.00391613	-0.39836099	-0.39836099	-0.39836099	-0.39836099	-0.39836099	-0.146666
2R	2530588	2550588	348	0.03634274	0.00298153	-0.27421689	-0.27421689	-0.27421689	-0.27421689	-0.27421689	-0.10111546
2R	2550588	2570588	568	0.04385232	0.00460688	0.05153104	0.05153104	0.05153104	0.05153104	0.05153104	-0.0941907
2R	2570588	2590588	526	0.03180869	0.00429721	-0.64220483	-0.64220483	-0.64220483	-0.64220483	-0.64220483	-0.07898764
2R	2590588	2610588	499	0.03102758	0.00408499	-0.57001269	-0.57001269	-0.57001269	-0.57001269	-0.57001269	-0.11630352
2R	2610588	2630588	398	0.03690928	0.0036781	-0.07087925	-0.07087925	-0.07087925	-0.07087925	-0.07087925	-0.02902872
2R	2630588	2650588	453	0.04225679	0.00420217	-0.93729318	-0.93729318	-0.93729318	-0.93729318	-0.93729318	-0.08175851
2R	2650588	2670588	390	0.0581066	0.0036861	-0.80861742	-0.80861742	-0.80861742	-0.80861742	-0.80861742	-0.05592455
2R	2670588	2690588	297	0.04334163	0.00262315	-0.4698123	-0.4698123	-0.4698123	-0.4698123	-0.4698123	-0.01545505
2R	2690588	2710588	403	0.03567969	0.00354681	-0.70236391	-0.70236391	-0.70236391	-0.70236391	-0.70236391	-0.06842284
2R	2710588	2730588	263	0.02002685	0.00215349	-1.0468957	-1.0468957	-1.0468957	-1.0468957	-1.0468957	-0.04006577
2R	2730588	2750588	407	0.04222724	0.00385543	-1.80591244	-1.80591244	-1.80591244	-1.80591244	-1.80591244	-0.13596304
2R	2750588	2770588	376	0.02561139	0.00366595	-1.4718871	-1.4718871	-1.4718871	-1.4718871	-1.4718871	-0.08025509
2R	2770588	2790588	366	0.02810422	0.00303239	-1.59936697	-1.59936697	-1.59936697	-1.59936697	-1.59936697	-0.12454618
2R	2790588	2810588	374	0.04499911	0.00342713	-1.65700588	-1.65700588	-1.65700588	-1.65700588	-1.65700588	-0.02863601
2R	2810588	2830588	476	0.05119425	0.00406683	-1.56059614	-1.56059614	-1.56059614	-1.56059614	-1.56059614	-0.08107022
2R	2830588	2850588	435	0.03546216	0.0042035	-0.7810476	-0.7810476	-0.7810476	-0.7810476	-0.7810476	0.02291689
2R	2850588	2870588	337	0.04385233	0.00263979	-0.64255817	-0.64255817	-0.64255817	-0.64255817	-0.64255817	-0.02780903
2R	2870588	2890588	466	0.04278666	0.0038641	-0.46715226	-0.46715226	-0.46715226	-0.46715226	-0.46715226	-0.02052847
2R	2890588	2910588	522	0.03472999	0.00386918	-0.78254112	-0.78254112	-0.78254112	-0.78254112	-0.78254112	-0.04791067
2R	2910588	2930588	615	0.02997494	0.00472316	-0.15926961	-0.15926961	-0.15926961	-0.15926961	-0.15926961	-0.07656473
2R	2930588	2950588	412	0.0366901	0.0029331	-0.28117919	-0.28117919	-0.28117919	-0.28117919	-0.28117919	-0.12923586
2R	2950588	2970588	437	0.02074366	0.00353236	-0.280343	-0.280343	-0.280343	-0.280343	-0.280343	-0.12202423
2R	2970588	2990588	398	0.04577115	0.00386039	-0.02125278	-0.02125278	-0.02125278	-0.02125278	-0.02125278	-0.04909424
2R	2990588	3010588	494	0.03281795	0.00503545	-0.29451522	-0.29451522	-0.29451522	-0.29451522	-0.29451522	-0.12193728
2R	3010588	3030588	253	0.03611386	0.00223793	-0.60256057	-0.60256057	-0.60256057	-0.60256057	-0.60256057	0.00527126
2R	3030588	3050588	465	0.02587551	0.00421827	-0.59731844	-0.59731844	-0.59731844	-0.59731844	-0.59731844	-0.06205339
2R	3050588	3070588	222	0.0194576	0.0018353	-0.59396033	-0.59396033	-0.59396033	-0.59396033	-0.59396033	-0.05162068
2R	3070588	3090588	395	0.02418767	0.00363595	-0.6736417	-0.6736417	-0.6736417	-0.6736417	-0.6736417	-0.05471493
2R	3090588	3110588	464	0.04596637	0.00364482	-0.47052173	-0.47052173	-0.47052173	-0.47052173	-0.47052173	-0.06939368
2R	3110588	3130588	511	0.07059656	0.00456735	-1.45826503	-1.45826503	-1.45826503	-1.45826503	-1.45826503	-0.00416692
2R	3130588	3150588	583	0.0559346	0.00517591	-0.92239083	-0.92239083	-0.92239083	-0.92239083	-0.92239083	-0.04066179
2R	3150588	3170588	538	0.03806419	0.00486616	-0.4921858	-0.4921858	-0.4921858	-0.4921858	-0.4921858	-0.06523172
2R	3170588	3190588	410	0.0144933	0.00398062	-0.74058425	-0.74058425	-0.74058425	-0.74058425	-0.74058425	-0.16545514
2R	3190588	3210588	88	0.02426601	0.00061739	-0.60317067	-0.60317067	-0.60317067	-0.60317067	-0.60317067	-0.15427843
2R	3210588	3230588	0	nan	0.0	nan	nan	nan	nan	nan	nan
2R	3230588	3250588	20	0.07984293	0.00014984	-0.12399457	-0.12399457	-0.12399457	-0.12399457	-0.12399457	0.16587584
2R	3250588	3270588	299	0.03019849	0.00291556	-0.62606896	-0.62606896	-0.62606896	-0.62606896	-0.62606896	-0.09027644
2R	3270588	3290588	360	0.03303264	0.00308656	-0.81511514	-0.81511514	-0.81511514	-0.81511514	-0.81511514	-0.07539894
2R	3290588	3310588	590	0.03517287	0.00541465	-0.71690965	-0.71690965	-0.71690965	-0.71690965	-0.71690965	-0.06232447
2R	3310588	3330588	554	0.04692463	0.00520201	-1.17917271	-1.17917271	-1.17917271	-1.17917271	-1.17917271	-0.07476569
2R	3330588	3350588	600	0.0465048	0.00505541	-1.34733844	-1.34733844	-1.34733844	-1.34733844	-1.34733844	-0.12543772
2R	3350588	3370588	385	0.08548966	0.00410491	-1.94894561	-1.94894561	-1.94894561	-1.94894561	-1.94894561	-0.03442663
2R	3370588	3390588	459	0.06113609	0.0045379	-2.35517527	-2.35517527	-2.35517527	-2.35517527	-2.35517527	-0.03273434
2R	3390588	3410588	359	0.04394358	0.00322109	-0.98496085	-0.98496085	-0.98496085	-0.98496085	-0.98496085	-0.02307968
2R	3410588	3430588	357	0.05042712	0.00325062	-0.91103824	-0.91103824	-0.91103824	-0.91103824	-0.91103824	-0.07438229
2R	3430588	3450588	329	0.06615164	0.00277033	-1.01259872	-1.01259872	-1.01259872	-1.01259872	-1.01259872	0.00223205
2R	3450588	3470588	78	0.05302933	0.00065876	-0.40994683	-0.40994683	-0.40994683	-0.40994683	-0.40994683	0.18396045
2R	3470588	3490588	46	0.04672281	0.00028713	-0.63127426	-0.63127426	-0.63127426	-0.63127426	-0.63127426	-0.07109348
2R	3490588	3510588	31	0.05026631	0.00033307	-0.60421685	-0.60421685	-0.60421685	-0.60421685	-0.60421685	-0.0777523
2R	3510588	3530588	44	0.07022205	0.00038307	-0.42082741	-0.42082741	-0.42082741	-0.42082741	-0.42082741	0.0181795
2R	3530588	3550588	85	0.04425026	0.00076391	-0.75877309	-0.75877309	-0.75877309	-0.75877309	-0.75877309	0.03802106
2R	3550588	3570588	125	0.04696639	0.00133443	-0.94983109	-0.94983109	-0.94983109	-0.94983109	-0.94983109	-0.0642111
2R	3570588	3590588	53	0.06043443	0.00062161	-1.14196506	-1.14196506	-1.14196506	-1.14196506	-1.14196506	0.18006365
2R	3590588	3610588	88	0.10686245	0.00088406	-0.94045574	-0.94045574	-0.94045574	-0.94045574	-0.94045574	0.09583235
2R	3610588	3630588	6	0.06271544	3.918e-05	-0.52869084	-0.52869084	-0.52869084	-0.52869084	-0.52869084	0.1100739
2R	3630588	3650588	173	0.06504825	0.00127689	-1.26754095	-1.26754095	-1.26754095	-1.26754095	-1.26754095	-0.09977163
2R	3650588	3670588	476	0.0961209	0.0042308	-2.43889714	-2.43889714	-2.43889714	-2.43889714	-2.43889714	0.03343176
2R	3670588	3690588	550	0.06681555	0.00478667	-2.51715202	-2.51715202	-2.51715202	-2.51715202	-2.51715202	-0.00941377
2R	3690588	3710588	446	0.07836101	0.0045293	-2.11923844	-2.11923844	-2.11923844	-2.11923844	-2.11923844	0.01320095
2R	3710588	3730588	567	0.04139689	0.00478988	-1.42217735	-1.42217735	-1.42217735	-1.42217735	-1.42217735	-0.0491908
2R	3730588	3750588	539	0.05835415	0.0046948	-0.89530426	-0.89530426	-0.89530426	-0.89530426	-0.89530426	-0.00030291
2R	3750588	3770588	589	0.04012087	0.00517861	-0.43706054	-0.43706054	-0.43706054	-0.43706054	-0.43706054	-0.09140419
2R	3770588	3790588	547	0.06096575	0.00417854	-0.1518556	-0.1518556	-0.1518556	-0.1518556	-0.1518556	0.04644862
2R	3790588	3810588	498	0.05676243	0.00402855	-0.6842715	-0.6842715	-0.6842715	-0.6842715	-0.6842715	-0.08610909
2R	3810588	3830588	485	0.04124373	0.00404386	-0.05513287	-0.05513287	-0.05513287	-0.05513287	-0.05513287	-0.08360607
2R	3830588	3850588	334	0.06745587	0.00285322	-0.17317089	-0.17317089	-0.17317089	-0.17317089	-0.17317089	-0.18643723
2R	3850588	3870588	394	0.0675027	0.00365353	0.07192796	0.07192796	0.07192796	0.07192796	0.07192796	-0.13515372
2R	3870588	3890588	293	0.04310958	0.00245859	0.00329994	0.00329994	0.00329994	0.00329994	0.00329994	-0.03921104
2R	3890588	3910588	591	0.03231457	0.00470582	-0.17682108	-0.17682108	-0.17682108	-0.17682108	-0.17682108	-0.0637122
2R	3910588	3930588	544	0.03894792	0.00385821	-0.69792098	-0.69792098	-0.69792098	-0.69792098	-0.69792098	-0.07939103
2R	3930588	3950588	594	0.02810251	0.0042649	-0.33082651	-0.33082651	-0.33082651	-0.33082651	-0.33082651	0.01206223
2R	3950588	3970588	686	0.04217664	0.00518611	-0.40733366	-0.40733366	-0.40733366	-0.40733366	-0.40733366	-0.06724254
2R	3970588	3990588	718	0.0354961	0.00542664	-0.32375687	-0.32375687	-0.32375687	-0.32375687	-0.32375687	-0.08595528
2R	3990588	4010588	473	0.05365209	0.00443533	-0.07484348	-0.07484348	-0.07484348	-0.07484348	-0.07484348	0.08136355
2R	4010588	4030588	369	0.03622197	0.00346221	-0.37629456	-0.37629456	-0.37629456	-0.37629456	-0.37629456	-0.00516681
2R	4030588	4050588	336	0.05843171	0.00291399	0.30554377	0.30554377	0.30554377	0.30554377	0.30554377	-0.13642822
2R	4050588	4070588	589	0.0335685	0.00492854	-0.15446549	-0.15446549	-0.15446549	-0.15446549	-0.15446549	-0.01075083
2R	4070588	4090588	62	0.04789005	0.00063294	-0.08227412	-0.08227412	-0.08227412	-0.08227412	-0.08227412	0.28034211
2R	4090588	4110588	262	0.04433793	0.00215153	-0.19869138	-0.19869138	-0.19869138	-0.19869138	-0.19869138	-0.05476213
2R	4110588	4130588	292	0.03876106	0.00258225	0.16417842	0.16417842	0.16417842	0.16417842	0.16417842	-0.01884199
2R	4130588	4150588	255	0.02978553	0.00241261	0.6612015	0.6612015	0.6612015	0.6612015	0.6612015	0.03317808
2R	4150588	4170588	284	0.04514413	0.00215958	0.13391204	0.13391204	0.13391204	0.13391204	0.13391204	-0.19560631
2R	4170588	4190588	464	0.05508824	0.00418338	-0.02968322	-0.02968322	-0.02968322	-0.02968322	-0.02968322	-0.02562591
2R	4190588	4210588	467	0.04257861	0.00426424	0.23993808	0.23993808	0.23993808	0.23993808	0.23993808	-0.0144408
2R	4210588	4230588	282	0.04879658	0.00245425	0.45532944	0.45532944	0.45532944	0.45532944	0.45532944	0.08136519
2R	4230588	4250588	425	0.03841243	0.00337893	0.51366694	0.51366694	0.51366694	0.51366694	0.51366694	-0.06787886
2R	4250588	4270588	436	0.03938745	0.00363001	0.98098991	0.98098991	0.98098991	0.98098991	0.98098991	-0.07143556
2R	4270588	4290588	480	0.04342717	0.00370364	1.02793195	1.02793195	1.02793195	1.02793195	1.02793195	0.04832585
2R	4290588	4310588	377	0.05754683	0.00276599	0.56106225	0.56106225	0.56106225	0.56106225	0.56106225	-0.05690485
2R	4310588	4330588	314	0.04181206	0.00223747	0.53667817	0.53667817	0.53667817	0.53667817	0.53667817	-0.08485706
2R	4330588	4350588	363	0.05776492	0.00243785	0.55155356	0.55155356	0.55155356	0.55155356	0.55155356	0.04720132
