chrom	start	stop	countsAccessPos	singleton	LBVwil	LPdom	LPfor	shared
3L	680001	880000	55074	25	16.0	8.0	2.0	152
3L	700001	900000	61489	25	16.0	9.0	2.0	159
3L	720001	920000	61293	25	14.0	10.0	2.0	156
3L	740001	940000	57222	25	13.0	12.0	2.0	161
3L	760001	960000	53231	22	13.0	11.0	2.0	151
3L	780001	980000	54714	22	10.0	14.0	1.0	160
3L	800001	1000000	48404	27	8.0	15.0	1.0	161
3L	820001	1020000	45915	26	5.0	17.0	1.0	166
3L	840001	1040000	41730	26	4.0	16.0	1.0	177
3L	860001	1060000	30518	23	2.0	16.0	0.0	157
3L	880001	1080000	23279	16	2.0	14.0	0.0	125
3L	900001	1100000	18517	18	2.0	13.0	0.0	126
3L	920001	1120000	22925	24	2.0	14.0	0.0	164
3L	940001	1140000	24383	19	1.0	11.0	0.0	133
3L	960001	1160000	27782	18	1.0	12.0	0.0	129
3L	980001	1180000	24919	16	1.0	7.0	0.0	102
3L	1000001	1200000	23752	9	1.0	5.0	0.0	82
3L	1020001	1220000	19654	9	1.0	3.0	0.0	69
3L	1040001	1240000	21037	9	2.0	3.0	0.0	54
3L	1060001	1260000	31264	14	6.0	6.0	2.0	70
3L	1080001	1280000	41019	20	6.0	9.0	2.0	79
3L	1100001	1300000	54266	23	7.0	9.0	2.0	97
3L	1120001	1320000	53502	19	11.0	7.0	2.0	74
3L	1140001	1340000	53547	20	10.0	8.0	2.0	82
3L	1160001	1360000	49195	20	10.0	7.0	2.0	81
3L	1180001	1380000	49175	22	10.0	8.0	3.0	86
3L	1200001	1400000	52550	22	10.0	8.0	3.0	89
3L	1220001	1420000	52550	22	10.0	8.0	3.0	89
3L	1240001	1440000	49019	22	9.0	8.0	3.0	87
3L	1260001	1460000	38792	17	5.0	5.0	1.0	71
3L	1280001	1480000	29984	12	6.0	2.0	3.0	69
3L	1300001	1500000	20981	10	7.0	5.0	4.0	58
3L	1320001	1520000	18855	11	5.0	5.0	5.0	47
3L	1340001	1540000	14831	9	5.0	4.0	5.0	39
3L	1360001	1560000	20732	13	8.0	6.0	6.0	49
3L	1380001	1580000	33093	17	10.0	7.0	5.0	58
3L	1400001	1600000	38337	25	13.0	9.0	5.0	84
3L	1420001	1620000	51610	34	15.0	13.0	6.0	115
3L	1440001	1640000	65144	43	15.0	14.0	6.0	143
3L	1460001	1660000	82164	56	16.0	15.0	6.0	176
3L	1480001	1680000	85958	56	16.0	17.0	4.0	171
3L	1500001	1700000	83126	56	14.0	15.0	3.0	163
3L	1520001	1720000	82210	53	12.0	15.0	2.0	158
3L	1540001	1740000	97586	63	13.0	16.0	2.0	237
3L	1560001	1760000	98006	72	14.0	17.0	3.0	264
3L	1580001	1780000	97861	72	14.0	15.0	3.0	269
3L	1600001	1800000	101661	69	14.0	17.0	6.0	277
3L	1620001	1820000	100446	68	14.0	14.0	7.0	261
3L	1640001	1840000	91272	60	14.0	13.0	7.0	239
3L	1660001	1860000	83360	48	14.0	12.0	7.0	217
3L	1680001	1880000	86255	53	14.0	11.0	7.0	234
3L	1700001	1900000	98921	56	19.0	12.0	9.0	257
3L	1720001	1920000	114810	73	25.0	18.0	11.0	309
3L	1740001	1940000	103826	68	26.0	21.0	13.0	249
3L	1760001	1960000	113239	73	32.0	27.0	16.0	291
3L	1780001	1980000	118064	83	37.0	39.0	16.0	336
3L	1800001	2000000	122229	89	35.0	42.0	14.0	345
3L	1820001	2020000	128570	91	35.0	46.0	12.0	401
3L	1840001	2040000	143315	111	41.0	55.0	13.0	495
3L	1860001	2060000	150963	120	50.0	61.0	13.0	557
3L	1880001	2080000	158984	126	54.0	63.0	13.0	613
3L	1900001	2100000	159362	136	54.0	70.0	11.0	660
3L	1920001	2120000	157755	134	51.0	66.0	9.0	683
3L	1940001	2140000	171293	138	58.0	63.0	9.0	737
3L	1960001	2160000	166994	124	48.0	58.0	5.0	697
3L	1980001	2180000	166030	135	60.0	59.0	5.0	717
3L	2000001	2200000	161918	131	65.0	55.0	4.0	703
3L	2020001	2220000	161054	131	70.0	57.0	4.0	695
3L	2040001	2240000	154575	116	64.0	49.0	6.0	628
3L	2060001	2260000	153916	110	54.0	45.0	6.0	573
3L	2080001	2280000	155417	120	52.0	48.0	11.0	579
3L	2100001	2300000	150406	117	54.0	39.0	12.0	575
3L	2120001	2320000	137941	106	52.0	38.0	12.0	513
3L	2140001	2340000	125169	97	44.0	37.0	10.0	444
3L	2160001	2360000	125229	119	51.0	37.0	9.0	461
3L	2180001	2380000	122770	103	38.0	25.0	9.0	469
3L	2200001	2400000	125477	111	39.0	28.0	9.0	488
3L	2220001	2420000	119509	113	38.0	23.0	9.0	490
3L	2240001	2440000	121946	119	51.0	27.0	7.0	529
3L	2260001	2460000	121143	126	57.0	27.0	7.0	573
3L	2280001	2480000	112425	118	61.0	25.0	3.0	536
3L	2300001	2500000	114068	114	63.0	27.0	4.0	510
3L	2320001	2520000	123978	127	66.0	29.0	7.0	517
3L	2340001	2540000	124379	127	65.0	29.0	7.0	524
3L	2360001	2560000	123710	102	58.0	27.0	7.0	475
3L	2380001	2580000	117204	94	53.0	28.0	7.0	398
3L	2400001	2600000	110737	91	50.0	26.0	7.0	386
3L	2420001	2620000	114613	124	64.0	29.0	11.0	500
3L	2440001	2640000	114473	141	57.0	27.0	11.0	579
3L	2460001	2660000	108727	131	52.0	25.0	11.0	531
3L	2480001	2680000	113029	123	47.0	22.0	11.0	532
3L	2500001	2700000	108605	125	42.0	22.0	11.0	541
3L	2520001	2720000	114955	117	48.0	37.0	15.0	652
3L	2540001	2740000	112497	126	52.0	39.0	16.0	664
3L	2560001	2760000	102694	125	52.0	37.0	16.0	657
3L	2580001	2780000	105590	128	55.0	38.0	17.0	709
3L	2600001	2800000	110616	125	62.0	42.0	17.0	771
3L	2620001	2820000	103704	86	44.0	43.0	15.0	629
3L	2640001	2840000	104434	58	40.0	43.0	14.0	502
3L	2660001	2860000	110508	67	45.0	54.0	17.0	549
3L	2680001	2880000	110547	67	51.0	70.0	18.0	601
3L	2700001	2900000	114278	67	59.0	84.0	19.0	667
3L	2720001	2920000	114099	71	51.0	73.0	12.0	643
3L	2740001	2940000	128888	70	52.0	77.0	12.0	690
3L	2760001	2960000	141724	82	64.0	90.0	13.0	765
3L	2780001	2980000	134922	89	61.0	90.0	12.0	762
3L	2800001	3000000	134477	130	64.0	96.0	12.0	835
3L	2820001	3020000	140102	147	74.0	107.0	10.0	934
3L	2840001	3040000	131973	159	73.0	104.0	10.0	951
3L	2860001	3060000	130181	159	68.0	94.0	7.0	932
3L	2880001	3080000	134913	163	62.0	78.0	5.0	905
3L	2900001	3100000	131592	159	51.0	64.0	2.0	801
3L	2920001	3120000	124131	161	55.0	58.0	2.0	781
3L	2940001	3140000	114975	177	55.0	56.0	1.0	793
3L	2960001	3160000	118984	184	59.0	52.0	0.0	840
3L	2980001	3180000	127461	182	71.0	57.0	0.0	875
3L	3000001	3200000	127522	164	67.0	59.0	2.0	854
3L	3020001	3220000	120066	142	56.0	46.0	2.0	739
3L	3040001	3240000	131449	151	69.0	73.0	5.0	844
3L	3060001	3260000	128951	159	84.0	78.0	7.0	873
3L	3080001	3280000	127573	173	95.0	94.0	7.0	900
3L	3100001	3300000	128370	179	99.0	105.0	10.0	947
3L	3120001	3320000	133011	191	104.0	111.0	11.0	1002
3L	3140001	3340000	143172	180	105.0	114.0	11.0	1013
3L	3160001	3360000	137922	167	94.0	107.0	12.0	934
3L	3180001	3380000	135814	164	86.0	103.0	12.0	862
3L	3200001	3400000	141632	153	83.0	97.0	12.0	780
3L	3220001	3420000	153818	172	98.0	101.0	13.0	821
3L	3240001	3440000	154410	176	92.0	87.0	10.0	741
3L	3260001	3460000	162362	180	92.0	91.0	10.0	769
3L	3280001	3480000	160570	178	84.0	78.0	11.0	727
3L	3300001	3500000	170497	185	95.0	67.0	9.0	742
3L	3320001	3520000	169801	172	88.0	63.0	8.0	646
3L	3340001	3540000	169241	178	88.0	57.0	10.0	626
3L	3360001	3560000	176009	207	104.0	58.0	9.0	684
3L	3380001	3580000	183898	225	126.0	61.0	16.0	796
3L	3400001	3600000	183716	219	127.0	57.0	16.0	811
3L	3420001	3620000	183031	218	128.0	54.0	15.0	819
3L	3440001	3640000	177946	203	125.0	42.0	15.0	794
3L	3460001	3660000	171999	181	110.0	32.0	13.0	703
3L	3480001	3680000	170561	160	110.0	29.0	12.0	689
3L	3500001	3700000	169554	153	101.0	28.0	11.0	658
3L	3520001	3720000	172787	175	123.0	35.0	17.0	708
3L	3540001	3740000	166860	172	132.0	40.0	21.0	730
3L	3560001	3760000	162701	164	130.0	43.0	27.0	760
3L	3580001	3780000	156936	159	134.0	41.0	22.0	773
3L	3600001	3800000	143727	145	126.0	35.0	20.0	696
3L	3620001	3820000	143953	133	128.0	37.0	27.0	762
3L	3640001	3840000	136727	123	123.0	38.0	27.0	743
3L	3660001	3860000	130195	134	128.0	41.0	27.0	790
3L	3680001	3880000	133853	148	140.0	49.0	33.0	820
3L	3700001	3900000	133234	160	153.0	52.0	33.0	872
3L	3720001	3920000	133284	147	140.0	43.0	28.0	865
3L	3740001	3940000	136447	142	143.0	39.0	23.0	884
3L	3760001	3960000	140462	131	131.0	36.0	18.0	828
3L	3780001	3980000	138465	111	101.0	31.0	16.0	702
3L	3800001	4000000	136464	112	103.0	31.0	16.0	708
3L	3820001	4020000	126165	113	86.0	25.0	9.0	599
3L	3840001	4040000	132605	121	91.0	24.0	9.0	605
3L	3860001	4060000	139101	120	92.0	22.0	9.0	637
3L	3880001	4080000	128962	110	77.0	13.0	3.0	590
3L	3900001	4100000	127412	90	59.0	11.0	4.0	524
3L	3920001	4120000	122038	69	46.0	11.0	3.0	458
3L	3940001	4140000	118248	62	28.0	9.0	2.0	362
3L	3960001	4160000	104818	50	21.0	6.0	1.0	325
3L	3980001	4180000	110523	61	23.0	7.0	3.0	401
3L	4000001	4200000	113349	68	21.0	7.0	4.0	462
3L	4020001	4220000	115218	61	19.0	6.0	4.0	452
3L	4040001	4240000	119351	68	16.0	7.0	4.0	517
3L	4060001	4260000	106088	58	9.0	6.0	4.0	430
3L	4080001	4280000	104012	61	13.0	9.0	5.0	440
3L	4100001	4300000	90079	62	12.0	7.0	4.0	430
3L	4120001	4320000	77333	60	12.0	6.0	4.0	413
3L	4140001	4340000	65315	56	12.0	6.0	4.0	394
3L	4160001	4360000	59432	52	12.0	6.0	4.0	356
3L	4180001	4380000	41922	40	9.0	6.0	2.0	252
3L	4200001	4400000	36206	36	10.0	6.0	1.0	198
3L	4220001	4420000	30050	36	12.0	6.0	2.0	221
3L	4240001	4440000	13024	21	11.0	4.0	2.0	140
3L	4260001	4460000	13004	21	11.0	4.0	2.0	140
3L	4280001	4480000	8589	13	5.0	1.0	1.0	105
3L	4300001	4500000	6506	7	4.0	1.0	1.0	82
3L	4320001	4520000	5922	7	4.0	1.0	1.0	76
3L	4340001	4540000	5947	7	4.0	1.0	1.0	76
3L	4360001	4560000	5949	7	4.0	1.0	1.0	76
3L	4380001	4580000	6530	9	5.0	0.0	1.0	117
3L	4400001	4600000	5640	4	4.0	0.0	1.0	95
3L	4420001	4620000	1867	3	2.0	0.0	0.0	56
3L	4440001	4640000	1496	2	1.0	0.0	0.0	44
3L	4460001	4660000	1676	2	1.0	0.0	0.0	44
3L	4480001	4680000	1675	2	1.0	0.0	0.0	44
3L	4500001	4700000	1359	2	1.0	0.0	0.0	42
3L	4520001	4720000	1433	2	1.0	0.0	0.0	42
3L	4540001	4740000	1434	2	1.0	0.0	0.0	42
3L	4560001	4760000	1432	2	1.0	0.0	0.0	42
3L	4580001	4780000	748	0	0.0	0.0	0.0	1
3L	4600001	4800000	2258	3	0.0	1.0	0.0	7
3L	4620001	4820000	13251	12	4.0	3.0	0.0	27
3L	4640001	4840000	25903	21	6.0	4.0	1.0	70
3L	4660001	4860000	42540	51	17.0	7.0	4.0	161
3L	4680001	4880000	58998	94	30.0	9.0	5.0	293
3L	4700001	4900000	63177	99	32.0	10.0	5.0	308
3L	4720001	4920000	72539	105	33.0	11.0	5.0	336
3L	4740001	4940000	81850	131	44.0	14.0	10.0	408
3L	4760001	4960000	83451	131	44.0	14.0	10.0	417
3L	4780001	4980000	83463	131	44.0	14.0	10.0	417
3L	4800001	5000000	85917	131	45.0	13.0	10.0	427
3L	4820001	5020000	86776	139	49.0	17.0	19.0	484
3L	4840001	5040000	93478	167	56.0	23.0	28.0	573
3L	4860001	5060000	91046	158	54.0	21.0	28.0	586
3L	4880001	5080000	93363	132	54.0	19.0	28.0	555
3L	4900001	5100000	95644	140	56.0	18.0	29.0	596
3L	4920001	5120000	103061	150	67.0	19.0	33.0	623
3L	4940001	5140000	106820	132	57.0	17.0	28.0	609
3L	4960001	5160000	120133	152	61.0	18.0	28.0	716
3L	4980001	5180000	135731	196	80.0	20.0	31.0	900
3L	5000001	5200000	148902	207	87.0	20.0	33.0	948
3L	5020001	5220000	156084	224	98.0	15.0	27.0	949
3L	5040001	5240000	144557	190	91.0	8.0	19.0	833
3L	5060001	5260000	143550	207	97.0	8.0	18.0	849
3L	5080001	5280000	144229	265	120.0	21.0	38.0	1019
3L	5100001	5300000	142354	265	118.0	21.0	38.0	991
3L	5120001	5320000	142770	266	114.0	25.0	37.0	1002
3L	5140001	5340000	146765	296	129.0	36.0	39.0	1066
3L	5160001	5360000	151504	307	142.0	49.0	41.0	1071
3L	5180001	5380000	155069	271	130.0	54.0	39.0	969
3L	5200001	5400000	154723	268	132.0	64.0	46.0	980
3L	5220001	5420000	150737	251	122.0	73.0	50.0	995
3L	5240001	5440000	161162	267	128.0	77.0	53.0	1063
3L	5260001	5460000	164929	244	127.0	80.0	59.0	1007
3L	5280001	5480000	160047	177	98.0	69.0	39.0	798
3L	5300001	5500000	171393	180	100.0	69.0	42.0	850
3L	5320001	5520000	168339	173	98.0	64.0	46.0	828
3L	5340001	5540000	166062	154	87.0	53.0	51.0	814
3L	5360001	5560000	151062	124	71.0	39.0	50.0	713
3L	5380001	5580000	144041	140	73.0	32.0	54.0	731
3L	5400001	5600000	144324	142	86.0	23.0	57.0	765
3L	5420001	5620000	148209	139	104.0	17.0	58.0	794
3L	5440001	5640000	148334	163	135.0	20.0	68.0	857
3L	5460001	5660000	147739	176	141.0	18.0	72.0	893
3L	5480001	5680000	152339	231	162.0	19.0	98.0	1007
3L	5500001	5700000	153887	235	175.0	21.0	100.0	1053
3L	5520001	5720000	159159	264	198.0	23.0	98.0	1137
3L	5540001	5740000	161183	269	206.0	25.0	102.0	1124
3L	5560001	5760000	169367	283	218.0	26.0	106.0	1191
3L	5580001	5780000	176359	278	224.0	34.0	104.0	1225
3L	5600001	5800000	170930	293	206.0	42.0	95.0	1181
3L	5620001	5820000	168910	317	198.0	56.0	97.0	1264
3L	5640001	5840000	168797	291	168.0	61.0	94.0	1253
3L	5660001	5860000	159533	263	149.0	59.0	83.0	1169
3L	5680001	5880000	149286	209	121.0	58.0	57.0	1004
3L	5700001	5900000	143551	192	108.0	57.0	51.0	925
3L	5720001	5920000	137296	167	87.0	60.0	47.0	858
3L	5740001	5940000	130247	152	76.0	59.0	36.0	810
3L	5760001	5960000	135734	159	69.0	68.0	42.0	854
3L	5780001	5980000	128883	148	57.0	66.0	52.0	790
3L	5800001	6000000	136188	148	71.0	66.0	66.0	951
3L	5820001	6020000	138049	155	87.0	55.0	65.0	954
3L	5840001	6040000	128748	150	87.0	43.0	54.0	901
3L	5860001	6060000	126860	153	88.0	44.0	53.0	897
3L	5880001	6080000	132751	169	97.0	46.0	66.0	1035
3L	5900001	6100000	134129	200	106.0	47.0	79.0	1196
3L	5920001	6120000	132402	210	102.0	45.0	86.0	1246
3L	5940001	6140000	127640	211	105.0	47.0	87.0	1262
3L	5960001	6160000	115229	200	105.0	41.0	77.0	1193
3L	5980001	6180000	116080	201	124.0	39.0	67.0	1209
3L	6000001	6200000	105025	180	112.0	31.0	50.0	1038
3L	6020001	6220000	100904	151	88.0	24.0	41.0	903
3L	6040001	6240000	99826	149	91.0	24.0	41.0	919
3L	6060001	6260000	107873	169	121.0	23.0	43.0	1106
3L	6080001	6280000	109774	168	128.0	23.0	32.0	1116
3L	6100001	6300000	114462	166	130.0	27.0	25.0	1059
3L	6120001	6320000	117678	162	136.0	23.0	18.0	1051
3L	6140001	6340000	120998	164	142.0	19.0	20.0	1127
3L	6160001	6360000	117961	164	139.0	15.0	19.0	1110
3L	6180001	6380000	117955	182	129.0	13.0	16.0	1130
3L	6200001	6400000	128691	230	145.0	12.0	18.0	1304
3L	6220001	6420000	133246	241	139.0	13.0	25.0	1389
3L	6240001	6440000	142517	269	143.0	13.0	25.0	1420
3L	6260001	6460000	141280	280	121.0	16.0	25.0	1392
3L	6280001	6480000	132226	274	108.0	13.0	23.0	1299
3L	6300001	6500000	130778	263	104.0	8.0	17.0	1446
3L	6320001	6520000	126231	256	101.0	8.0	16.0	1459
3L	6340001	6540000	130185	248	94.0	8.0	13.0	1435
3L	6360001	6560000	145840	256	98.0	8.0	14.0	1577
3L	6380001	6580000	149655	251	103.0	6.0	15.0	1634
3L	6400001	6600000	149863	225	107.0	6.0	16.0	1606
3L	6420001	6620000	148397	223	125.0	5.0	10.0	1612
3L	6440001	6640000	142443	195	125.0	5.0	10.0	1665
3L	6460001	6660000	145919	192	129.0	2.0	12.0	1659
3L	6480001	6680000	157188	191	143.0	1.0	13.0	1816
3L	6500001	6700000	160231	201	156.0	1.0	16.0	1800
3L	6520001	6720000	167950	231	173.0	1.0	19.0	2016
3L	6540001	6740000	173146	243	173.0	2.0	19.0	2069
3L	6560001	6760000	173949	259	181.0	2.0	22.0	2107
3L	6580001	6780000	169171	257	174.0	2.0	23.0	2070
3L	6600001	6800000	167761	271	168.0	2.0	25.0	2115
3L	6620001	6820000	162398	266	156.0	2.0	25.0	2098
3L	6640001	6840000	161128	270	162.0	2.0	27.0	2055
3L	6660001	6860000	153899	258	168.0	2.0	26.0	2047
3L	6680001	6880000	144423	249	153.0	2.0	24.0	1905
3L	6700001	6900000	134645	227	131.0	1.0	22.0	1706
3L	6720001	6920000	127959	198	112.0	1.0	23.0	1451
3L	6740001	6940000	126154	232	125.0	0.0	27.0	1453
3L	6760001	6960000	116848	275	143.0	0.0	25.0	1427
3L	6780001	6980000	122154	335	157.0	1.0	29.0	1553
3L	6800001	7000000	113323	301	140.0	1.0	25.0	1357
3L	6820001	7020000	104267	293	132.0	1.0	26.0	1246
3L	6840001	7040000	111099	317	123.0	2.0	31.0	1298
3L	6860001	7060000	111992	308	109.0	2.0	30.0	1219
3L	6880001	7080000	117335	334	118.0	3.0	35.0	1279
3L	6900001	7100000	126076	344	131.0	4.0	37.0	1348
3L	6920001	7120000	116250	330	126.0	4.0	33.0	1272
3L	6940001	7140000	101391	281	109.0	4.0	29.0	1105
3L	6960001	7160000	109748	223	91.0	4.0	32.0	1006
3L	6980001	7180000	100502	160	74.0	3.0	27.0	811
3L	7000001	7200000	91922	151	70.0	3.0	26.0	761
3L	7020001	7220000	88531	139	67.0	3.0	24.0	724
3L	7040001	7240000	71555	101	54.0	2.0	16.0	532
3L	7060001	7260000	62587	91	48.0	3.0	14.0	459
3L	7080001	7280000	47788	57	37.0	2.0	9.0	318
3L	7100001	7300000	29420	38	22.0	1.0	6.0	166
3L	7120001	7320000	30347	41	23.0	1.0	6.0	181
3L	7140001	7340000	37716	48	31.0	2.0	8.0	246
3L	7160001	7360000	34902	36	25.0	8.0	10.0	305
3L	7180001	7380000	31200	21	19.0	8.0	9.0	290
3L	7200001	7400000	31184	21	19.0	8.0	9.0	290
3L	7220001	7420000	32445	22	19.0	8.0	9.0	302
3L	7240001	7440000	36504	30	20.0	8.0	10.0	342
3L	7260001	7460000	36578	30	20.0	7.0	10.0	338
3L	7280001	7480000	40989	41	24.0	7.0	14.0	390
3L	7300001	7500000	46709	43	24.0	9.0	18.0	410
3L	7320001	7520000	44939	40	23.0	9.0	18.0	396
3L	7340001	7540000	38842	32	15.0	8.0	16.0	334
3L	7360001	7560000	30565	30	7.0	2.0	9.0	205
3L	7380001	7580000	27766	28	6.0	2.0	9.0	170
3L	7400001	7600000	38354	32	7.0	3.0	12.0	251
3L	7420001	7620000	46116	59	8.0	3.0	16.0	349
3L	7440001	7640000	61012	148	17.0	10.0	36.0	587
3L	7460001	7660000	77242	194	35.0	16.0	51.0	834
3L	7480001	7680000	81398	208	43.0	16.0	50.0	866
3L	7500001	7700000	75874	206	43.0	14.0	46.0	846
3L	7520001	7720000	75331	206	43.0	14.0	46.0	844
3L	7540001	7740000	73226	206	43.0	14.0	46.0	838
3L	7560001	7760000	65932	200	42.0	14.0	46.0	808
3L	7580001	7780000	64183	200	42.0	14.0	46.0	801
3L	7600001	7800000	53595	196	41.0	13.0	43.0	720
3L	7620001	7820000	51382	176	41.0	13.0	40.0	642
3L	7640001	7840000	46155	124	46.0	17.0	24.0	485
3L	7660001	7860000	48389	117	41.0	25.0	14.0	447
3L	7680001	7880000	50122	122	44.0	25.0	14.0	494
3L	7700001	7900000	64346	148	56.0	29.0	22.0	640
3L	7720001	7920000	82052	182	81.0	32.0	29.0	810
3L	7740001	7940000	91411	217	106.0	32.0	37.0	964
3L	7760001	7960000	101903	258	116.0	32.0	46.0	1060
3L	7780001	7980000	114041	301	129.0	32.0	63.0	1247
3L	7800001	8000000	114209	301	129.0	32.0	63.0	1247
3L	7820001	8020000	112537	300	130.0	32.0	62.0	1254
3L	7840001	8040000	107686	275	127.0	22.0	58.0	1241
3L	7860001	8060000	107273	302	130.0	8.0	59.0	1233
3L	7880001	8080000	115136	307	137.0	8.0	58.0	1382
3L	7900001	8100000	111359	324	143.0	4.0	50.0	1410
3L	7920001	8120000	99466	294	118.0	1.0	44.0	1258
3L	7940001	8140000	97365	288	99.0	4.0	46.0	1232
3L	7960001	8160000	88046	247	89.0	4.0	37.0	1158
3L	7980001	8180000	84542	212	95.0	6.0	22.0	1061
3L	8000001	8200000	91031	219	101.0	7.0	23.0	1120
3L	8020001	8220000	101548	276	135.0	15.0	29.0	1340
3L	8040001	8240000	111472	359	165.0	25.0	35.0	1605
3L	8060001	8260000	96155	295	150.0	25.0	29.0	1420
3L	8080001	8280000	86820	282	138.0	27.0	28.0	1283
3L	8100001	8300000	93630	312	151.0	37.0	32.0	1290
3L	8120001	8320000	104454	378	182.0	45.0	36.0	1439
3L	8140001	8340000	114376	455	201.0	47.0	35.0	1596
3L	8160001	8360000	128010	538	217.0	57.0	40.0	1830
3L	8180001	8380000	134466	617	217.0	62.0	41.0	1877
3L	8200001	8400000	136512	654	229.0	69.0	47.0	2005
3L	8220001	8420000	130145	609	202.0	62.0	44.0	1836
3L	8240001	8440000	122310	529	166.0	58.0	46.0	1576
3L	8260001	8460000	130099	572	185.0	61.0	55.0	1742
3L	8280001	8480000	135204	590	194.0	64.0	59.0	1821
3L	8300001	8500000	130304	564	184.0	57.0	63.0	1830
3L	8320001	8520000	125510	515	171.0	49.0	62.0	1782
3L	8340001	8540000	125530	506	198.0	59.0	70.0	1930
3L	8360001	8560000	127227	500	235.0	53.0	81.0	2038
3L	8380001	8580000	120650	472	249.0	50.0	88.0	2106
3L	8400001	8600000	122762	472	242.0	47.0	85.0	2167
3L	8420001	8620000	127892	524	262.0	53.0	91.0	2354
3L	8440001	8640000	130852	578	292.0	60.0	105.0	2575
3L	8460001	8660000	133045	578	284.0	61.0	100.0	2536
3L	8480001	8680000	130414	556	283.0	60.0	97.0	2459
3L	8500001	8700000	127267	522	267.0	58.0	89.0	2329
3L	8520001	8720000	133575	537	264.0	73.0	98.0	2390
3L	8540001	8740000	134404	495	255.0	68.0	88.0	2269
3L	8560001	8760000	127090	452	228.0	70.0	75.0	2071
3L	8580001	8780000	132067	417	216.0	76.0	75.0	2004
3L	8600001	8800000	128085	381	209.0	75.0	74.0	1794
3L	8620001	8820000	128011	329	214.0	81.0	69.0	1668
3L	8640001	8840000	124259	279	199.0	76.0	56.0	1444
3L	8660001	8860000	127366	273	209.0	80.0	59.0	1467
3L	8680001	8880000	125735	270	196.0	80.0	58.0	1424
3L	8700001	8900000	122633	276	199.0	91.0	62.0	1429
3L	8720001	8920000	114714	293	213.0	83.0	60.0	1396
3L	8740001	8940000	108319	260	182.0	76.0	59.0	1237
3L	8760001	8960000	102041	227	160.0	71.0	57.0	1093
3L	8780001	8980000	101002	221	173.0	74.0	65.0	1199
3L	8800001	9000000	107938	262	190.0	83.0	69.0	1456
3L	8820001	9020000	111453	305	187.0	86.0	83.0	1607
3L	8840001	9040000	109980	329	180.0	83.0	92.0	1635
3L	8860001	9060000	112801	369	206.0	104.0	100.0	1899
3L	8880001	9080000	113197	397	233.0	113.0	108.0	2038
3L	8900001	9100000	108214	385	228.0	103.0	105.0	1995
3L	8920001	9120000	100751	333	199.0	97.0	96.0	1870
3L	8940001	9140000	106404	386	216.0	108.0	115.0	2034
3L	8960001	9160000	112437	398	218.0	112.0	118.0	2150
3L	8980001	9180000	108933	409	197.0	104.0	107.0	2011
3L	9000001	9200000	102268	374	178.0	94.0	104.0	1762
3L	9020001	9220000	85128	316	148.0	78.0	86.0	1466
3L	9040001	9240000	76788	265	134.0	72.0	67.0	1328
3L	9060001	9260000	65072	207	105.0	48.0	62.0	992
3L	9080001	9280000	55456	164	74.0	35.0	53.0	753
3L	9100001	9300000	63286	182	82.0	39.0	56.0	859
3L	9120001	9320000	72849	280	114.0	50.0	79.0	1149
3L	9140001	9340000	70960	269	101.0	47.0	75.0	1040
3L	9160001	9360000	77632	332	126.0	68.0	109.0	1236
3L	9180001	9380000	86628	404	163.0	83.0	132.0	1525
3L	9200001	9400000	89757	427	164.0	92.0	143.0	1582
3L	9220001	9420000	93158	427	164.0	93.0	143.0	1593
